#,Word,Link,POS,POS_Desc,Category
1995,sneaky,https://www.handspeak.com/word/s/sneaky.mp4,NN,"noun, singular",
1996,sneeze,https://www.handspeak.com/word/s/sneeze.mp4,NN,"noun, singular",
1997,smell,https://www.handspeak.com/word/s/smell.mp4,NN,"noun, singular",
1998,smile,https://www.handspeak.com/word/s/smile.mp4,NN,"noun, singular",
1999,smirk,https://www.handspeak.com/word/s/smirk.mp4,NN,"noun, singular",
2000,smoke cigarette,https://www.handspeak.com/word/s/smoke-cigarette.mp4,NN,"noun, singular",
2001,smooth,https://www.handspeak.com/word/s/smooth.mp4,NN,"noun, singular",
2002,snobbish,https://www.handspeak.com/word/s/snob.mp4,NN,"noun, singular",
2003,snow,https://www.handspeak.com/word/s/snow.mp4,NN,"noun, singular",
2004,sniff,https://www.handspeak.com/word/s/sniff.mp4,NN,"noun, singular",
2005,sniffle,https://www.handspeak.com/word/s/sniffle.mp4,NN,"noun, singular",
2006,cons,https://www.handspeak.com/word/c/cons.mp4,NNS,noun plural,
2007,paper towel,https://www.handspeak.com/word/p/paper-towel.mp4,NN,"noun, singular",
2008,type (kind),https://www.handspeak.com/word/t/type-kind.mp4,NN,"noun, singular",
2009,sure thing,https://www.handspeak.com/word/s/sure-thing-nod.mp4,JJ,adjective,
2010,so,https://www.handspeak.com/word/s/so-fs.mp4,RB,adverb very,
2011,sober,https://www.handspeak.com/word/s/sober.mp4,NN,"noun, singular",
2012,soccer,https://www.handspeak.com/word/s/soccer.mp4,NN,"noun, singular",
2013,society,https://www.handspeak.com/word/s/society.mp4,NN,"noun, singular",
2014,socialize,https://www.handspeak.com/word/s/socialize.mp4,VB,"verb, base form",
2015,social justice,https://www.handspeak.com/word/s/social-justice.mp4,JJ,adjective,
2016,socialization,https://www.handspeak.com/word/s/socialization.mp4,NN,"noun, singular",
2017,soft,https://www.handspeak.com/word/s/soft.mp4,JJ,adjective,
2018,solve,https://www.handspeak.com/word/s/solve.mp4,NN,"noun, singular",
2019,some,https://www.handspeak.com/word/s/some.mp4,DT,determiner,
2020,something,https://www.handspeak.com/word/s/something.mp4,NN,"noun, singular",
2021,sometimes,https://www.handspeak.com/word/s/sometimes.mp4,RB,adverb very,
2022,son,https://www.handspeak.com/word/s/son.mp4,NN,"noun, singular",
2023,soon,https://www.handspeak.com/word/s/soon.mp4,RB,adverb very,
2024,sophisticated,https://www.handspeak.com/word/s/sophisticated.mp4,JJ,adjective,
2025,Spain,https://www.handspeak.com/word/s/spain.mp4,NNP,"proper noun, singular",
2026,sophomore,https://www.handspeak.com/word/s/sophomore.mp4,NN,"noun, singular",Education
2027,sorry,https://www.handspeak.com/word/s/sorry.mp4,NN,"noun, singular",
2028,sorry for,https://www.handspeak.com/word/s/sorry-for.mp4,NN,"noun, singular",
2029,"Pretoria, South Africa",https://www.handspeak.com/word/p/pretoria.mp4,NNP,"proper noun, singular",
2030,discharge,https://www.handspeak.com/word/d/discharge.mp4,NN,"noun, singular",
2031,sort of,https://www.handspeak.com/word/s/sort-of.mp4,NN,"noun, singular",
2032,soul,https://www.handspeak.com/word/s/soul.mp4,NN,"noun, singular",
2033,sound,https://www.handspeak.com/word/s/sound.mp4,NN,"noun, singular",
2034,speech,https://www.handspeak.com/word/s/speech-express.mp4,NN,"noun, singular",
2035,sour,https://www.handspeak.com/word/s/sour.mp4,NN,"noun, singular",
2036,south,https://www.handspeak.com/word/s/south.mp4,NN,"noun, singular",
2037,Uruguay,https://www.handspeak.com/word/u/uruguay.mp4,NN,"noun, singular",
2038,spaghetti,https://www.handspeak.com/word/s/spaghetti.mp4,NNS,noun plural,Food
2039,Spanish,https://www.handspeak.com/word/s/spanish.mp4,JJ,adjective,Country
2040,speak vocally,https://www.handspeak.com/word/s/speak.mp4,NN,"noun, singular",
2041,special,https://www.handspeak.com/word/s/special.mp4,JJ,adjective,
2042,specific,https://www.handspeak.com/word/s/specific.mp4,JJ,adjective,
2043,proximity,https://www.handspeak.com/word/p/proximity.mp4,NN,"noun, singular",
2044,speech disorder,https://www.handspeak.com/word/s/speech-disorder.mp4,NN,"noun, singular",
2045,keynote speech,https://www.handspeak.com/word/k/keynote-speech.mp4,NN,"noun, singular",
2046,speed,https://www.handspeak.com/word/s/speed.mp4,NN,"noun, singular",
2047,spell,https://www.handspeak.com/word/s/spell.mp4,NN,"noun, singular",
2048,spirit,https://www.handspeak.com/word/s/spirit.mp4,NN,"noun, singular",
2049,top,https://www.handspeak.com/word/t/top.mp4,NN,"noun, singular",
2050,spoil,https://www.handspeak.com/word/s/spoil-ruin.mp4,NN,"noun, singular",
2051,spoiled (pampered),https://www.handspeak.com/word/s/spoiled-pamper.mp4,VBN,"verb, past participle",
2052,spoon,https://www.handspeak.com/word/s/spoon-cutlery.mp4,NN,"noun, singular",
2053,sports,https://www.handspeak.com/word/s/sports.mp4,NNS,noun plural,
2054,spread,https://www.handspeak.com/word/s/spread.mp4,NN,"noun, singular",
2055,spring,https://www.handspeak.com/word/s/spring-season.mp4,NN,"noun, singular",
2056,sprint,https://www.handspeak.com/word/s/sprint.mp4,NN,"noun, singular",
2057,spy,https://www.handspeak.com/word/s/spy.mp4,NN,"noun, singular",
2058,square,https://www.handspeak.com/word/s/square2.mp4,NN,"noun, singular",
2059,click rate,https://www.handspeak.com/word/c/click-rate.mp4,NN,"noun, singular",
2060,stairs,https://www.handspeak.com/word/s/stairs.mp4,NNS,noun plural,
2061,stamp,https://www.handspeak.com/word/s/stamp.mp4,NN,"noun, singular",
2062,postage stamp,https://www.handspeak.com/word/s/stamp-post.mp4,NN,"noun, singular",
2063,stand,https://www.handspeak.com/word/s/stand.mp4,NN,"noun, singular",
2064,enlarge,https://www.handspeak.com/word/e/enlarge.mp4,NN,"noun, singular",
2065,stapler,https://www.handspeak.com/word/s/stapler.mp4,NN,"noun, singular",
2066,star,https://www.handspeak.com/word/s/star.mp4,NN,"noun, singular",
2067,cosmos,https://www.handspeak.com/word/c/cosmos.mp4,NN,"noun, singular",
2068,stare,https://www.handspeak.com/word/s/stare.mp4,NN,"noun, singular",
2069,start,https://www.handspeak.com/word/s/start.mp4,NN,"noun, singular",
2070,starting gun,https://www.handspeak.com/word/s/start-gun.mp4,VBG,"verb, gerund/present participle",
2071,stay,https://www.handspeak.com/word/s/stay.mp4,NN,"noun, singular",
2072,steady,https://www.handspeak.com/word/s/steady-relationship.mp4,JJ,adjective,
2073,loot,https://www.handspeak.com/word/l/loot.mp4,NN,"noun, singular",
2074,step,https://www.handspeak.com/word/s/step.mp4,NN,"noun, singular",
2075,tape,https://www.handspeak.com/word/t/tape-supply2.mp4,NN,"noun, singular",
2076,still,https://www.handspeak.com/word/s/still.mp4,RB,adverb very,
2077,stoned,https://www.handspeak.com/word/s/stoned-drug.mp4,VBN,"verb, past participle",
2078,stone (rock),https://www.handspeak.com/word/s/stone-rock.mp4,NN,"noun, singular",
2079,stop,https://www.handspeak.com/word/s/stop.mp4,NN,"noun, singular",
2080,store,https://www.handspeak.com/word/s/store.mp4,NN,"noun, singular",
2081,story,https://www.handspeak.com/word/s/story2.mp4,NN,"noun, singular",
2082,storyboard,https://www.handspeak.com/word/s/storyboard.mp4,NN,"noun, singular",
2083,straight,https://www.handspeak.com/word/s/straight-blunt.mp4,NN,"noun, singular",
2084,straightforward,https://www.handspeak.com/word/s/straightforward.mp4,NN,"noun, singular",
2085,strange,https://www.handspeak.com/word/s/strange.mp4,NN,"noun, singular",
2086,sparse,https://www.handspeak.com/word/s/sparse.mp4,NN,"noun, singular",
2087,straw,https://www.handspeak.com/word/s/straw-sip.mp4,NN,"noun, singular",
2088,too,https://www.handspeak.com/word/t/too.mp4,RB,adverb very,
2089,strawberry,https://www.handspeak.com/word/s/strawberry.mp4,NN,"noun, singular",Food
2090,streamline,https://www.handspeak.com/word/s/streamline-swim.mp4,NN,"noun, singular",
2091,street,https://www.handspeak.com/word/s/street.mp4,NN,"noun, singular",
2092,stressful,https://www.handspeak.com/word/s/stressful.mp4,NN,"noun, singular",
2093,stress,https://www.handspeak.com/word/s/stress.mp4,NN,"noun, singular",
2094,strike,https://www.handspeak.com/word/s/strike-protest.mp4,NN,"noun, singular",
2095,robust,https://www.handspeak.com/word/r/robust.mp4,NN,"noun, singular",
2096,strong,https://www.handspeak.com/word/s/strong.mp4,JJ,adjective,
2097,struggle,https://www.handspeak.com/word/s/struggle.mp4,NN,"noun, singular",
2098,stubborn,https://www.handspeak.com/word/s/stubborn.mp4,NN,"noun, singular",
2099,tendency,https://www.handspeak.com/word/t/tend2.mp4,NN,"noun, singular",
2100,stuck,https://www.handspeak.com/word/s/stuck.mp4,NN,"noun, singular",
2101,student,https://www.handspeak.com/word/s/student.mp4,NN,"noun, singular",Education
2102,study,https://www.handspeak.com/word/s/study.mp4,NN,"noun, singular",Education
2103,study group,https://www.handspeak.com/word/s/study-group.mp4,NN,"noun, singular",Education
2104,stupid,https://www.handspeak.com/word/s/stupid.mp4,JJ,adjective,
2105,subtract,https://www.handspeak.com/word/s/subtract.mp4,NN,"noun, singular",
2106,subscribe,https://www.handspeak.com/word/s/subscribe.mp4,NN,"noun, singular",
2107,success,https://www.handspeak.com/word/s/success.mp4,NN,"noun, singular",
2108,sudden,https://www.handspeak.com/word/s/sudden.mp4,JJ,adjective,
2109,sue,https://www.handspeak.com/word/s/sue-lawsuit.mp4,NN,"noun, singular",
2110,suffer,https://www.handspeak.com/word/s/suffer.mp4,NN,"noun, singular",
2111,sugar,https://www.handspeak.com/word/s/sugar.mp4,NN,"noun, singular",
2112,suggest,https://www.handspeak.com/word/s/suggest.mp4,NN,"noun, singular",
2113,summer,https://www.handspeak.com/word/s/summer.mp4,NN,"noun, singular",
2114,texting,https://www.handspeak.com/word/t/text-send.mp4,VBG,"verb, gerund/present participle",
2115,sun,https://www.handspeak.com/word/s/sun.mp4,NN,"noun, singular",
2116,sunroom,https://www.handspeak.com/word/s/sunroom.mp4,NN,"noun, singular",
2117,Sunday,https://www.handspeak.com/word/s/sunday.mp4,NNP,"proper noun, singular",
2118,Sundays,https://www.handspeak.com/word/s/sundays.mp4,NNS,noun plural,
2119,sunglasses,https://www.handspeak.com/word/s/sunglasses.mp4,NNS,noun plural,
2120,sunrise,https://www.handspeak.com/word/s/sunrise.mp4,NN,"noun, singular",
2121,sunset,https://www.handspeak.com/word/s/sunset.mp4,NN,"noun, singular",
2122,superficial,https://www.handspeak.com/word/s/superficial.mp4,JJ,adjective,
2123,supper,https://www.handspeak.com/word/s/supper.mp4,NN,"noun, singular",
2124,support,https://www.handspeak.com/word/s/support.mp4,NN,"noun, singular",
2125,support group,https://www.handspeak.com/word/s/support-group.mp4,NN,"noun, singular",
2126,suppose,https://www.handspeak.com/word/s/suppose-if.mp4,NN,"noun, singular",
2127,sure,https://www.handspeak.com/word/s/sure.mp4,NN,"noun, singular",
2128,surface,https://www.handspeak.com/word/s/surface.mp4,NN,"noun, singular",
2129,flabbergast,https://www.handspeak.com/word/f/flabbergast.mp4,NN,"noun, singular",
2130,surprise,https://www.handspeak.com/word/s/surprise.mp4,NN,"noun, singular",
2131,suspect,https://www.handspeak.com/word/s/suspect.mp4,NN,"noun, singular",
2132,swan,https://www.handspeak.com/word/s/swan.mp4,NN,"noun, singular",animal
2133,swear (cuss),https://www.handspeak.com/word/s/swear-cuss.mp4,NN,"noun, singular",
2134,Sweden,https://www.handspeak.com/word/s/sweden.mp4,NN,"noun, singular",Country
2135,sweet,https://www.handspeak.com/word/s/sweet.mp4,NN,"noun, singular",
2136,swimming,https://www.handspeak.com/word/s/swim.mp4,VBG,"verb, gerund/present participle",
2137,swing,https://www.handspeak.com/word/s/swing.mp4,VBG,"verb, gerund/present participle",
2138,Switzerland,https://www.handspeak.com/word/s/switzerland.mp4,NNP,"proper noun, singular",Country
2139,Sydney,https://www.handspeak.com/word/s/sydney-au.mp4,NN,"noun, singular",City
2140,symbol,https://www.handspeak.com/word/s/symbol.mp4,NN,"noun, singular",
2141,table,https://www.handspeak.com/word/t/table.mp4,NN,"noun, singular",
2142,tablet,https://www.handspeak.com/word/t/tablet-screen.mp4,NN,"noun, singular",
2143,Taiwan,https://www.handspeak.com/word/t/taiwan.mp4,NNP,"proper noun, singular",Country
2144,take,https://www.handspeak.com/word/t/take.mp4,VB,"verb, base form",
2145,take for granted,https://www.handspeak.com/word/t/take-for-granted.mp4,VB,"verb, base form",
2146,take over,https://www.handspeak.com/word/t/take-over.mp4,NN,"noun, singular",
2147,talkative,https://www.handspeak.com/word/t/talkative.mp4,NN,"noun, singular",
2148,blah-blah,https://www.handspeak.com/word/b/blah-talk.mp4,NN,"noun, singular",
2149,tall,https://www.handspeak.com/word/t/tall.mp4,NN,"noun, singular",
2150,tan,https://www.handspeak.com/word/t/tan-color.mp4,NN,"noun, singular",
2151,tape measure,https://www.handspeak.com/word/t/tape-measure.mp4,NN,"noun, singular",
2152,taper,https://www.handspeak.com/word/t/taper.mp4,NN,"noun, singular",
2153,taste,https://www.handspeak.com/word/t/taste.mp4,NN,"noun, singular",
2154,tea,https://www.handspeak.com/word/t/tea.mp4,NN,"noun, singular",
2155,teach,https://www.handspeak.com/word/t/teach.mp4,NN,"noun, singular",
2156,teacher,https://www.handspeak.com/word/t/teacher.mp4,NN,"noun, singular",Education
2157,wool,https://www.handspeak.com/word/w/wool-fs.mp4,NN,"noun, singular",
2158,teach a lesson,https://www.handspeak.com/word/t/teach-lesson.mp4,VB,"verb, base form",
2159,tear (weep),https://www.handspeak.com/word/t/tear-cry.mp4,NN,"noun, singular",
2160,tease,https://www.handspeak.com/word/t/tease.mp4,NN,"noun, singular",
2161,technique,https://www.handspeak.com/word/t/technique.mp4,NN,"noun, singular",
2162,technology,https://www.handspeak.com/word/t/technology.mp4,NN,"noun, singular",
2163,telegram,https://www.handspeak.com/word/t/telegram.mp4,NN,"noun, singular",
2164,telepathy,https://www.handspeak.com/word/t/telepathy.mp4,NN,"noun, singular",
2165,telephone,https://www.handspeak.com/word/t/telephone.mp4,NN,"noun, singular",
2166,spyglass,https://www.handspeak.com/word/s/spyglass.mp4,NN,"noun, singular",
2167,duration,https://www.handspeak.com/word/d/duration.mp4,NN,"noun, singular",
2168,telescope,https://www.handspeak.com/word/t/telescope.mp4,NN,"noun, singular",
2169,tell,https://www.handspeak.com/word/t/tell.mp4,NN,"noun, singular",
2170,notify,https://www.handspeak.com/word/n/notify.mp4,NN,"noun, singular",
2171,describe,https://www.handspeak.com/word/d/describe.mp4,NN,"noun, singular",
2172,uh-huh,https://www.handspeak.com/word/y/uh-huh.mp4,JJ,adjective,
2173,temple,https://www.handspeak.com/word/t/temple-nsl.mp4,NN,"noun, singular",
2174,temporary,https://www.handspeak.com/word/t/temporary.mp4,JJ,adjective,
2175,tempt,https://www.handspeak.com/word/t/tempt.mp4,NN,"noun, singular",
2176,tend,https://www.handspeak.com/word/t/tend.mp4,NN,"noun, singular",
2177,tennis,https://www.handspeak.com/word/t/tennis.mp4,NN,"noun, singular",
2178,tent,https://www.handspeak.com/word/t/tent.mp4,NN,"noun, singular",
2179,terrorism,https://www.handspeak.com/word/t/terrorism.mp4,NN,"noun, singular",
2180,test,https://www.handspeak.com/word/t/test.mp4,NN,"noun, singular",Education
2181,test anxiety,https://www.handspeak.com/word/t/test-anxiety.mp4,NN,"noun, singular",
2182,testament,https://www.handspeak.com/word/t/testament.mp4,NN,"noun, singular",
2183,do it yourself,https://www.handspeak.com/word/d/diy.mp4,VB,"verb, base form",
2184,Thailand,https://www.handspeak.com/word/t/thailand.mp4,NN,"noun, singular",Country
2185,than,https://www.handspeak.com/word/t/than.mp4,IN,preposition/subordinating conjunction,
2186,thank you,https://www.handspeak.com/word/t/thank.mp4,NN,"noun, singular",
2187,thank you all,https://www.handspeak.com/word/t/thank-all.mp4,NN,"noun, singular",
2188,zoom shot,https://www.handspeak.com/word/z/zoom-lens.mp4,NN,"noun, singular",
2189,zoom in,https://www.handspeak.com/word/z/zoom-in.mp4,NN,"noun, singular",
2190,zoom out,https://www.handspeak.com/word/z/zoom-out.mp4,NN,"noun, singular",
2191,thankful,https://www.handspeak.com/word/t/thankful.mp4,NN,"noun, singular",
2192,Thanksgiving,https://www.handspeak.com/word/t/thanksgiving-us.mp4,VBG,"verb, gerund/present participle",
2193,then,https://www.handspeak.com/word/t/then.mp4,RB,adverb very,
2194,suntan,https://www.handspeak.com/word/s/suntan.mp4,NN,"noun, singular",
2195,they,https://www.handspeak.com/word/t/they.mp4,PRP,personal pronoun,
2196,thick,https://www.handspeak.com/word/t/thick.mp4,NN,"noun, singular",
2197,thief,https://www.handspeak.com/word/t/thief.mp4,NN,"noun, singular",
2198,hold up,https://www.handspeak.com/word/h/hold-up.mp4,VB,"verb, base form",
2199,thin,https://www.handspeak.com/word/t/thin.mp4,NN,"noun, singular",
2200,thing,https://www.handspeak.com/word/t/thing.mp4,NN,"noun, singular",
2201,think,https://www.handspeak.com/word/t/think.mp4,NN,"noun, singular",
2202,order (sequence),https://www.handspeak.com/word/o/order-sequence.mp4,NN,"noun, singular",
2203,questionnaire,https://www.handspeak.com/word/q/questionnaire.mp4,NN,"noun, singular",
2204,thirdly,https://www.handspeak.com/word/t/thirdly.mp4,RB,adverb very,
2205,thirsty,https://www.handspeak.com/word/t/thirsty.mp4,NN,"noun, singular",
2206,shriek,https://www.handspeak.com/word/s/shriek.mp4,NN,"noun, singular",
2207,threat,https://www.handspeak.com/word/t/threaten.mp4,NN,"noun, singular",
2208,thrilled,https://www.handspeak.com/word/t/thrilled.mp4,VBN,"verb, past participle",
2209,lament,https://www.handspeak.com/word/l/lament.mp4,NN,"noun, singular",
2210,through,https://www.handspeak.com/word/t/through.mp4,IN,preposition/subordinating conjunction,
2211,throw,https://www.handspeak.com/word/t/throw.mp4,NN,"noun, singular",
2212,throw away,https://www.handspeak.com/word/t/throw-away.mp4,VB,"verb, base form",
2213,Thursdays,https://www.handspeak.com/word/t/thursdays.mp4,NNS,noun plural,
2214,ticket,https://www.handspeak.com/word/t/ticket.mp4,NN,"noun, singular",
2215,tickle,https://www.handspeak.com/word/t/tickle.mp4,NN,"noun, singular",
2216,bolo-tie,https://www.handspeak.com/word/b/bolo-tie.mp4,NN,"noun, singular",
2217,tie,https://www.handspeak.com/word/t/tie-knot.mp4,NN,"noun, singular",
2218,tiger,https://www.handspeak.com/word/t/tiger.mp4,NN,"noun, singular",animal
2219,tight,https://www.handspeak.com/word/t/tight.mp4,NN,"noun, singular",
2220,tilak,https://www.handspeak.com/word/t/tilak.mp4,NN,"noun, singular",
2221,tilak,https://www.handspeak.com/word/t/tilak-powder.mp4,NN,"noun, singular",
2222,timeline,https://www.handspeak.com/word/t/timeline.mp4,NN,"noun, singular",
2223,time,https://www.handspeak.com/word/t/time2.mp4,NN,"noun, singular",
2224,at the same time,https://www.handspeak.com/word/a/at-same-time.mp4,IN,preposition/subordinating conjunction,
2225,tired,https://www.handspeak.com/word/t/tired.mp4,VBN,"verb, past participle",
2226,toast,https://www.handspeak.com/word/t/toast (food).mp4,NN,"noun, singular",Food
2227,toast (cheer),https://www.handspeak.com/word/t/toast-cheer.mp4,NN,"noun, singular",
2228,tobacco,https://www.handspeak.com/word/t/tobacco.mp4,NN,"noun, singular",
2229,together,https://www.handspeak.com/word/t/together.mp4,RB,adverb very,
2230,toilet,https://www.handspeak.com/word/t/toilet.mp4,NN,"noun, singular",
2231,tolerate,https://www.handspeak.com/word/t/tolerate.mp4,NN,"noun, singular",
2232,tomato,https://www.handspeak.com/word/t/tomato.mp4,NN,"noun, singular",Food
2233,tomorrow,https://www.handspeak.com/word/t/tomorrow.mp4,NN,"noun, singular",
2234,tonight,https://www.handspeak.com/word/t/tonight.mp4,NN,"noun, singular",
2235,title,https://www.handspeak.com/word/t/title.mp4,NN,"noun, singular",
2236,to,https://www.handspeak.com/word/t/to.mp4,TO,to go 'to',
2237,too bad,https://www.handspeak.com/word/t/too-bad.mp4,RB,adverb very,
2238,alas,https://www.handspeak.com/word/a/alas.mp4,NNS,noun plural,
2239,moreover,https://www.handspeak.com/word/m/moreover.mp4,NN,"noun, singular",
2240,foremost,https://www.handspeak.com/word/f/foremost.mp4,NN,"noun, singular",
2241,tornado,https://www.handspeak.com/word/t/tornado.mp4,NN,"noun, singular",
2242,toss and turn,https://www.handspeak.com/word/t/toss-turn.mp4,NN,"noun, singular",
2243,touch,https://www.handspeak.com/word/t/touch.mp4,NN,"noun, singular",
2244,topic,https://www.handspeak.com/word/t/topic.mp4,NN,"noun, singular",
2245,on the same page,https://www.handspeak.com/word/o/on-same-page.mp4,IN,preposition/subordinating conjunction,
2246,tough,https://www.handspeak.com/word/t/tough.mp4,JJ,adjective,
2247,sturdy,https://www.handspeak.com/word/s/sturdy.mp4,NN,"noun, singular",
2248,tournament,https://www.handspeak.com/word/t/tournament.mp4,NN,"noun, singular",
2249,tow,https://www.handspeak.com/word/t/tow-tug.mp4,NN,"noun, singular",
2250,towel,https://www.handspeak.com/word/t/towel.mp4,NN,"noun, singular",
2251,town,https://www.handspeak.com/word/t/town.mp4,NN,"noun, singular",
2252,track and field,https://www.handspeak.com/word/t/track-field.mp4,NN,"noun, singular",
2253,trade,https://www.handspeak.com/word/t/trade.mp4,NN,"noun, singular",
2254,trader,https://www.handspeak.com/word/t/trader.mp4,NN,"noun, singular",
2255,trademark-registered,https://www.handspeak.com/word/t/trademark-registered.mp4,JJ,adjective,
2256,traffic,https://www.handspeak.com/word/t/traffic.mp4,NN,"noun, singular",
2257,tragedy,https://www.handspeak.com/word/t/tragedy.mp4,NN,"noun, singular",
2258,train,https://www.handspeak.com/word/t/train.mp4,NN,"noun, singular",
2259,transexual,https://www.handspeak.com/word/t/transexual.mp4,JJ,adjective,
2260,transfer,https://www.handspeak.com/word/t/transfer.mp4,NN,"noun, singular",
2261,restaurant,https://www.handspeak.com/word/r/restaurant.mp4,NN,"noun, singular",
2262,travel,https://www.handspeak.com/word/t/travel.mp4,NN,"noun, singular",
2263,triple,https://www.handspeak.com/word/t/triple.mp4,NN,"noun, singular",
2264,tree,https://www.handspeak.com/word/t/tree.mp4,NN,"noun, singular",
2265,trial,https://www.handspeak.com/word/t/trial.mp4,NN,"noun, singular",
2266,triangle,https://www.handspeak.com/word/t/triangle.mp4,NN,"noun, singular",
2267,trouble,https://www.handspeak.com/word/t/trouble.mp4,NN,"noun, singular",
2268,truck,https://www.handspeak.com/word/t/truck-fs.mp4,NN,"noun, singular",
2269,TRUE,https://www.handspeak.com/word/t/true.mp4,JJ,adjective,
2270,trust,https://www.handspeak.com/word/t/trust.mp4,NN,"noun, singular",
2271,ride along,https://www.handspeak.com/word/r/ride-along.mp4,NN,"noun, singular",
2272,try,https://www.handspeak.com/word/t/try.mp4,NN,"noun, singular",
2273,Tuesdays,https://www.handspeak.com/word/t/tuesdays.mp4,NNS,noun plural,
2274,turn,https://www.handspeak.com/word/t/turn.mp4,NN,"noun, singular",
2275,shun,https://www.handspeak.com/word/s/shun.mp4,NN,"noun, singular",
2276,fall on deaf ears,https://www.handspeak.com/word/f/fall-on-deaf-ear.mp4,NN,"noun, singular",
2277,turn upside down,https://www.handspeak.com/word/t/turn-upside-down.mp4,NN,"noun, singular",
2278,turtle,https://www.handspeak.com/word/t/turtle.mp4,NN,"noun, singular",animal
2279,twice,https://www.handspeak.com/word/t/twice.mp4,RB,adverb very,
2280,twin,https://www.handspeak.com/word/t/twin-offspring.mp4,NN,"noun, singular",
2281,twist,https://www.handspeak.com/word/t/twist.mp4,NN,"noun, singular",
2282,rebel,https://www.handspeak.com/word/r/rebel.mp4,NN,"noun, singular",
2283,two-of-three,https://www.handspeak.com/word/t/two-of-three.mp4,JJ,adjective,
2284,two-faced,https://www.handspeak.com/word/t/two-faced.mp4,JJ,adjective,
2285,type (write),https://www.handspeak.com/word/t/type-keyboard.mp4,NN,"noun, singular",
2286,TTY / TDD,https://www.handspeak.com/word/t/teletyper.mp4,NNP,"proper noun, singular",
2287,ugly,https://www.handspeak.com/word/u/ugly.mp4,RB,adverb very,
2288,umbrella,https://www.handspeak.com/word/u/umbrella.mp4,NN,"noun, singular",
2289,unmindful,https://www.handspeak.com/word/u/unmindful.mp4,JJ,adjective,
2290,unaware,https://www.handspeak.com/word/u/unaware.mp4,NN,"noun, singular",
2291,uncle,https://www.handspeak.com/word/u/uncle.mp4,NN,"noun, singular",
2292,understand,https://www.handspeak.com/word/u/understand.mp4,NN,"noun, singular",
2293,unique,https://www.handspeak.com/word/u/unique.mp4,NN,"noun, singular",
2294,unusual,https://www.handspeak.com/word/u/unusual.mp4,JJ,adjective,
2295,understandable,https://www.handspeak.com/word/u/understandable.mp4,JJ,adjective,
2296,university,https://www.handspeak.com/word/u/university.mp4,NN,"noun, singular",Education
2297,unbeatable,https://www.handspeak.com/word/u/unbeatable.mp4,JJ,adjective,
2298,unless,https://www.handspeak.com/word/u/unless.mp4,IN,preposition/subordinating conjunction,
2299,until,https://www.handspeak.com/word/u/until.mp4,IN,preposition/subordinating conjunction,
2300,unthinkable,https://www.handspeak.com/word/u/unthinkable.mp4,JJ,adjective,
2301,up,https://www.handspeak.com/word/u/up.mp4,RB,adverb very,
2302,read critically,https://www.handspeak.com/word/r/read-critically.mp4,VB,"verb, base form",
2303,up to you,https://www.handspeak.com/word/u/up-to-you.mp4,RB,adverb very,
2304,upset,https://www.handspeak.com/word/u/upset.mp4,NN,"noun, singular",
2305,upload,https://www.handspeak.com/word/u/upload.mp4,NN,"noun, singular",
2306,United States,https://www.handspeak.com/word/u/united-states.mp4,NNP,"proper noun, singular",
2307,use,https://www.handspeak.com/word/u/use.mp4,NN,"noun, singular",
2308,used,https://www.handspeak.com/word/u/used.mp4,VBN,"verb, past participle",
2309,useless,https://www.handspeak.com/word/u/useless.mp4,NN,"noun, singular",
2310,unnoticeable,https://www.handspeak.com/word/u/unnoticeable.mp4,JJ,adjective,
2311,unacceptable,https://www.handspeak.com/word/u/unacceptable.mp4,JJ,adjective,
2312,vacation,https://www.handspeak.com/word/v/vacation.mp4,NN,"noun, singular",
2313,dull (uninteresting),https://www.handspeak.com/word/d/dull-boring.mp4,NN,"noun, singular",
2314,vague,https://www.handspeak.com/word/v/vague.mp4,NN,"noun, singular",
2315,Valentine,https://www.handspeak.com/word/v/valentine.mp4,NN,"noun, singular",
2316,various,https://www.handspeak.com/word/v/various.mp4,JJ,adjective,
2317,vegetable,https://www.handspeak.com/word/v/vegetable.mp4,NN,"noun, singular",Food
2318,very,https://www.handspeak.com/word/v/very.mp4,RB,adverb very,
2319,versus,https://www.handspeak.com/word/v/versus.mp4,NN,"noun, singular",
2320,vibration,https://www.handspeak.com/word/v/vibration.mp4,NN,"noun, singular",
2321,vibe,https://www.handspeak.com/word/v/vibe.mp4,NN,"noun, singular",
2322,vice versa,https://www.handspeak.com/word/v/vice-versa.mp4,NN,"noun, singular",
2323,video camera,https://www.handspeak.com/word/v/video camera.mp4,NN,"noun, singular",
2324,videotape,https://www.handspeak.com/word/v/videotape.mp4,NN,"noun, singular",
2325,scenery,https://www.handspeak.com/word/s/scenery.mp4,NN,"noun, singular",
2326,viewpoint,https://www.handspeak.com/word/v/viewpoint.mp4,NN,"noun, singular",
2327,virtuoso,https://www.handspeak.com/word/v/virtuoso.mp4,NN,"noun, singular",
2328,vision,https://www.handspeak.com/word/v/vision.mp4,NN,"noun, singular",
2329,visit,https://www.handspeak.com/word/v/visit.mp4,NN,"noun, singular",
2330,vocabulary,https://www.handspeak.com/word/v/vocabulary.mp4,JJ,adjective,
2331,vodka,https://www.handspeak.com/word/v/vodka.mp4,NN,"noun, singular",Food
2332,harness,https://www.handspeak.com/word/h/harness.mp4,NN,"noun, singular",
